,Distance to Waterway (m),Drainage Direction,Elevation,Fine Earth Density (kg / m^3),Height Above Nearest Drainage (m),Landform Type,Nearest Water Type,Population - 1 km,Population - 10 km,Population - 5 km,Slope (degrees),Soil Clay Fraction,Soil Great Group,Soil Sand Fraction,Upstream Drainage Area (km^2),Wind Speed (m/s),area,area (km^2),country,id,place_name,risk,area (ha),geometry,number
24,1774.9363434546267,northeast,26.0,116.0,15.399999618530273,Upper slope (warm),water,208.0,54826.0,15359.0,0.6183032897835913,0.3,2.0,0.42,0.008195888251066208,2.632222890853882,1805.2821930943032,0.0018052821930943032,Vietnam,8f4161c8c021cac,"Tân Phước, Hải Lăng District, Quang Tri province, Vietnam",0.19024422284872902,0.18052821930943033,POINT (107.2367335631808 16.6579310468488),70
93,423.9067644363855,northwest,28.0,117.0,11.199999809265137,Lower slope (warm),reservoir,210.0,35426.0,9146.0,2.14520399132466,0.32,0.0,0.37,0.008199143223464489,2.118541955947876,4461.0764821794555,0.004461076482179456,Vietnam,8f4161d8b58b95c,"Phong Điền District, Thừa Thiên Huế Province, Vietnam",0.33949781209226526,0.4461076482179456,POINT (107.3256516736938 16.57980695919519),71
103,1158.6474517680176,north,35.0,124.0,7.0,Lower slope (warm),pond,4237.0,730542.0,187406.0,10.289293111043408,0.29,0.0,0.41,0.032885581254959106,1.3076940774917603,3352.643018788249,0.003352643018788249,Vietnam,8f41642ed8258f4,"Hoàng Văn Thái, Phường Hòa Khánh Nam, Hòa Vang District, Da Nang, 84236, Vietnam",0.3060680328684955,0.3352643018788249,POINT (108.1415978914144 16.04118036278302),72
106,1696.2623145615346,west,10.0,149.0,1.1999998092651367,Upper slope (flat),ditch,3647.0,254527.0,96686.0,1.3222879638898253,0.27,0.0,0.44,0.008226828649640083,2.847259521484375,716.8469429551052,0.0007168469429551052,Vietnam,8f4164356625296,"Cẩm Hà, Hội An, Quang Nam Province, 51309, Vietnam",0.21066791650152322,0.07168469429551053,POINT (108.3033488633754 15.90495754915877),73
132,258.69543625577046,southeast,561.0,118.0,3.70001220703125,Upper slope (warm),canal,419.0,19248.0,8418.0,3.5664280156884924,0.31,1.0,0.41,0.016427937895059586,2.980712413787842,1144.9956307661773,0.0011449956307661774,Vietnam,8f41656ccd736a5,"Phú Vinh, A Lưới District, Thừa Thiên Huế Province, Vietnam",0.3327551218715872,0.11449956307661774,POINT (107.260948488122 16.22204899573068),74
193,165.48838814015744,southwest,362.0,122.0,18.0,Upper slope (warm),ditch,185.0,8624.0,3621.0,5.540337491288612,0.33,0.0,0.35,0.008245420642197132,2.064984083175659,0.0,0.0,Vietnam,8f4165885b45518,"Khâm Đức, Phước Sơn District, Quang Nam Province, Vietnam",,0.0,POINT (107.8068425040792 15.43504611784887),75
160,516.9894891661854,southwest,27.0,118.0,16.0,Lower slope (warm),stream,436.0,25864.0,10043.0,1.1446389689126517,0.29,0.0,0.37,0.008234942331910133,1.6189370155334473,231.74762861307357,0.00023174762861307357,Vietnam,8f4165c108de1ab,"Nông Sơn District, Quang Nam Province, Vietnam",0.21387037192835387,0.023174762861307357,POINT (108.0719486359065 15.70126653280603),76
151,180.08567888431932,northeast,46.0,116.0,23.600000381469727,Lower slope (warm),water,276.0,19453.0,4993.0,2.5890897796021637,0.27,3.0,0.44,0.008133269846439362,2.821775197982788,254.68624374719508,0.00025468624374719507,Vietnam,8f416ad30105974,"Ho Chi Minh Highway, Cầy Trạo, Hương Khê District, Hà Tĩnh Province, Vietnam",0.30125964182838394,0.025468624374719508,POINT (105.793380065654 18.08866643617355),77
168,967.3148677724099,southeast,64.0,125.0,69.30000305175781,Upper slope (warm),river,329.0,40123.0,13395.0,24.94513277430102,0.28,1.0,0.45,0.008147543296217918,3.0364129543304443,213.1836296207878,0.0002131836296207878,Vietnam,8f416e406223803,"Tuyên Hóa District, Quang Binh province, Vietnam",0.1585438665840741,0.02131836296207878,POINT (106.2580089706415 17.77252251012602),78
25,542.6459492226667,northeast,33.0,127.0,10.799999237060547,Lower slope (warm),reservoir,792.0,95641.0,25100.0,2.492967476319969,0.29,1.0,0.46,0.02443378046154976,3.073056936264038,5049.873180904539,0.0050498731809045395,Vietnam,8f416e59c34a56e,"TL 22, Quảng Trạch District, Quang Binh province, Vietnam",0.35804344902946283,0.5049873180904539,POINT (106.3883838614835 17.83892018005851),79
144,1015.8884127959022,northeast,88.0,110.0,7.0,Valley,river,232.0,15248.0,4605.0,13.428744059697076,0.31,7.0,0.35,0.2848982810974121,2.657682180404663,612.2963590322132,0.0006122963590322133,Vietnam,8f416e6aab3004b,"Tuyên Hóa District, Quang Binh province, Vietnam",0.18526133922592125,0.06122963590322133,POINT (105.8109915597875 17.94134523070131),80
14,1315.16451221995,northwest,70.0,82.0,11.299999237060547,Lower slope (warm),water,274.0,16831.0,5673.0,7.5791336339141715,0.27,1.0,0.41,0.08142960071563721,2.0818710327148438,1685.1382197477894,0.0016851382197477895,Vietnam,8f416e7b36aa98e,"Dong Le Town, Tuyên Hóa District, Quang Binh province, Vietnam",0.22694903865369007,0.16851382197477896,POINT (106.0047559160207 17.8763256931243),81
108,370.31597551476665,northeast,26.0,123.0,9.40000057220459,Lower slope (warm),river,624.0,116922.0,31432.0,4.329816838246212,0.31,2.0,0.4,0.016327887773513794,3.9354302883148193,1584.4423578188655,0.0015844423578188654,Vietnam,8f416ed801b3434,"Vĩnh Ninh, Quảng Ninh District, Quang Binh province, Vietnam",0.32546404505900356,0.15844423578188654,POINT (106.5959968897703 17.40268839594382),82
3,707.1479932889213,northwest,3.0,89.0,1.7000001668930054,Lower slope (flat),river,802.0,171351.0,34603.0,0.7010690518995596,0.39,0.0,0.3,0.008402306586503983,3.059033155441284,3120.979246923162,0.003120979246923162,Vietnam,8f65848114a0058,"Phú Thạnh, Xã Phú Thạnh, Phú Tân District, An Giang Province, Vietnam",0.2791263712947515,0.3120979246923162,POINT (105.2779867530714 10.6943746551802),83
141,194.12731802147582,south,2.0,62.0,0.40000009536743164,Lower slope (warm),canal,727.0,119729.0,27958.0,0.3145737518101465,0.41,5.0,0.25,0.008403659798204899,3.1229236125946045,2432.6372022624714,0.0024326372022624716,Vietnam,8f658485d60199c,"Xã Vĩnh Tế, Chau Doc City, An Giang Province, Vietnam",0.36193543204149337,0.24326372022624715,POINT (105.0573697026278 10.64417463720493),84
138,52.4543861332821,southwest,3.0,127.0,0.8999999761581421,Upper slope (flat),river,1706.0,175227.0,46905.0,0.44115724177281634,0.4,2.0,0.26,0.05880020931363106,3.047905921936035,659.4997205397949,0.000659499720539795,Vietnam,8f65848c84a55b4,"TL. 957, Xã Đa Phước, An Phú District, An Giang Province, 89888, Vietnam",0.4180365460991091,0.0659499720539795,POINT (105.086372382557 10.77668333340407),85
95,198.6362481886753,southwest,1.0,74.0,1.1999999284744263,Lower slope (flat),canal,816.0,167308.0,48520.0,1.5621279447005205,0.38,3.0,0.28,0.025227494537830353,3.128929615020752,1785.4037549980876,0.0017854037549980876,Vietnam,8f658492da5a500,"Bình Hòa, Xã Bình Hòa, Châu Thành District, An Giang Province, Vietnam",0.3590442773527939,0.17854037549980875,POINT (105.3193099897237 10.43765385712762),86
177,881.1740194777199,west,1.0,115.0,0.7000000476837158,Lower slope (flat),canal,1653.0,282263.0,56913.0,0.693645937678992,0.3,2.0,0.35,0.008407617919147015,3.1430208683013916,149.10458904392596,0.00014910458904392594,Vietnam,8f65849356042d8,"Kiến Thành, Xã Kiến Thành, Chợ Mới District, An Giang Province, Vietnam",0.16947630825862792,0.014910458904392593,POINT (105.4245805903588 10.49639368357171),87
7,3720.0981460168005,east,16.0,140.0,10.899999618530273,Lower slope (flat),stream,584.0,103029.0,17627.0,1.4014201190125635,0.2,0.0,0.54,0.016811992973089218,3.1991488933563232,5248.53731356667,0.005248537313566669,Vietnam,8f6584b3170c834,"An Cư, Xã An Cư, Tịnh Biên District, An Giang Province, Vietnam",0.2310435159945347,0.5248537313566669,POINT (104.9685443639672 10.5567786653239),88
84,634.8634954606149,north,7.0,99.0,1.200000286102295,Upper slope (flat),canal,1768.0,83979.0,26739.0,0.31479973935464256,0.4,3.0,0.28,0.05038659647107124,3.0005762577056885,772.7675532405653,0.0007727675532405654,Vietnam,8f6584d4219c26c,"Sa Rài, Tân Hồng District, Dong Thap Province, Vietnam",0.2346455851377307,0.07727675532405653,POINT (105.4786912805701 10.86101623083148),89
38,399.11384339034566,north,10.0,136.0,4.300000190734863,Lower slope (flat),river,594.0,34565.0,10320.0,0.6284204836915249,0.25,0.0,0.51,0.042064689099788666,2.4800608158111572,3011.7403297967835,0.0030117403297967834,Vietnam,8f658586e4e04c9,"Cửa Dương, Phu Quoc City, Kien Giang Province, Vietnam",0.36921161485841847,0.3011740329796783,POINT (103.9390519187594 10.29546262095324),90
102,2481.199457857135,east,667.0,131.0,39.39996337890625,Upper slope (warm),water,964.0,37033.0,19439.0,7.962193676980513,0.3,0.0,0.42,0.008274114690721035,2.803617477416992,1134.4042724038268,0.0011344042724038268,Vietnam,8f6596cab9a3a96,"Quốc lộ 14C, Hòa Bình, Ngoc Hoi District, Kon Tum province, Vietnam",0.16744154632901798,0.11344042724038268,POINT (107.6893744665235 14.68105001937846),91
111,2674.9791907923764,north,4.0,124.0,1.0,Valley,river,1258.0,87966.0,27070.0,0.6989476348499121,0.28,1.0,0.46,0.008433358743786812,3.2241010665893555,3529.331791911481,0.003529331791911481,Vietnam,8f65a0410319b9c,"Quốc lộ 1, Thạnh Phú, Mỹ Xuyên District, Soc Trang province, Vietnam",0.22385487188149714,0.3529331791911481,POINT (105.8276859241445 9.482428399526377),92
8,1412.6423604855192,west,2.0,119.0,0.0,Lower slope (flat),canal,1548.0,130856.0,38552.0,0.8805222212545802,0.3,3.0,0.38,17.048994064331055,3.3639092445373535,5903.430971965998,0.005903430971965998,Vietnam,8f65a04a6ae88b1,"Mỹ Tú District, Soc Trang province, Vietnam",0.2950985556827156,0.5903430971965997,POINT (105.8872063474984 9.533500195328648),93
129,477.7106378778115,west,2.0,103.0,1.7000000476837158,Upper slope (flat),canal,801.0,75167.0,38484.0,0.9788751823270511,0.48,4.0,0.21,0.008437796495854855,3.8110194206237793,1676.9465357947076,0.0016769465357947076,Vietnam,8f65a0530a05726,"Lê Lai, Hải Ngư, Xã Vĩnh Trạch Đông, Vĩnh Châu Town, Soc Trang province, Vietnam",0.2502115189476587,0.16769465357947075,POINT (105.9692120922419 9.296732736317162),94
147,201.39555920715472,south,-1.0,123.0,0.39999985694885254,Lower slope (flat),canal,1773.0,217806.0,100504.0,0.6931401153995504,0.25,3.0,0.49,0.02531108446419239,3.307691812515259,8657.167370595338,0.008657167370595338,Vietnam,8f65a0558c7294c,"Châu Hưng, Vĩnh Lợi District, Bạc Liêu Province, 97000, Vietnam",0.48866984605928304,0.8657167370595338,POINT (105.7315967000754 9.328448477616119),95
166,344.79631863519995,east,3.0,93.0,0.40000009536743164,Upper slope (flat),river,1968.0,205254.0,51344.0,1.577019091721134,0.29,1.0,0.44,0.00841478444635868,3.116399049758911,1615.1214632300141,0.0016151214632300142,Vietnam,8f65a201dc09a20,"TL. 854, Phú Hựu, Xã Phú Hựu, Châu Thành District, Dong Thap Province, Vietnam",0.3582193826702303,0.16151214632300143,POINT (105.852350513682 10.22447210311707),96
113,976.6136577891002,west,1.0,84.0,0.0,Valley,river,3910.0,179785.0,53684.0,1.120047999445998,0.39,2.0,0.28,0.01683330535888672,3.095658302307129,7347.022611520057,0.007347022611520057,Vietnam,8f65a2035b03aed,"Phú Hưng, Long Hồ District, Vinh Long province, Vietnam",0.3175756056436975,0.7347022611520057,POINT (105.9301155272723 10.151981506574),97
161,139.96501150801316,northwest,3.0,97.0,0.7000000476837158,Valley,canal,2183.0,235498.0,51448.0,1.2364626041759954,0.39,2.0,0.24,0.008413223549723625,3.1249542236328125,1696.5205411692157,0.0016965205411692157,Vietnam,8f65a20cd92d172,"Xã Hòa Thành, Lai Vung District, Dong Thap Province, Vietnam",0.39640846581243017,0.16965205411692158,POINT (105.6991738720845 10.28393820470528),98
51,198.17075713914642,north,6.0,105.0,0.0,Valley,river,2769.0,244422.0,95503.0,0.8815386239721349,0.42,1.0,0.22,0.0336533822119236,3.1037659645080566,3465.8129834217916,0.0034658129834217915,Vietnam,8f65a20eaaf2c92,"Tan Phu Dong, Sa Đéc City, Dong Thap Province, 81800, Vietnam",0.39466790475933816,0.34658129834217916,POINT (105.7276207045853 10.27984237548872),99
124,156.68550694994673,southwest,2.0,92.0,0.7000000476837158,Lower slope (flat),canal,2210.0,104159.0,41512.0,1.9913963479292922,0.39,1.0,0.32,0.008414153940975666,3.0744309425354004,1532.4407892948595,0.0015324407892948594,Vietnam,8f65a225c4cc8e5,"Võ Văn Kiệt, Núi Sập, Thị trấn Núi Sập, Thoại Sơn District, An Giang Province, Vietnam",0.3833970809108839,0.15324407892948594,POINT (105.2681127162713 10.24819020583114),100
83,1460.1471779344579,southwest,1.0,119.0,0.2999999523162842,Lower slope (flat),canal,606.0,190380.0,41695.0,0.44094650129544966,0.3,1.0,0.39,0.008407797664403915,2.577049493789673,4441.240816072545,0.004441240816072545,Vietnam,8f65a25167b3a43,"Xã Tân Lập 1, Tien Giang province, Vietnam",0.26415873667353135,0.44412408160725453,POINT (106.3115282606021 10.49023016365151),101
194,126.98514126431759,south,1.0,115.0,0.0,Lower slope (warm),canal,202.0,43495.0,6789.0,0.7009099745671367,0.39,3.0,0.32,77.54121398925781,1.9986604452133179,4136.74407222523,0.0041367440722252305,Vietnam,8f65a258362e361,"Tân Đông, Xã Tân Đông, Thạnh Hóa District, Long An province, Vietnam",0.4044920848720191,0.413674407222523,POINT (106.2790446774113 10.60866367268096),102
109,572.9357872868496,northeast,5.0,76.0,0.6000001430511475,Lower slope (flat),canal,1279.0,145620.0,43019.0,0.6936864384706972,0.44,2.0,0.2,0.008405298925936222,3.121044874191284,238.06839936506057,0.00023806839936506058,Vietnam,8f65a265d81ba74,"843, Tan My, Thanh Bình District, Dong Thap Province, Vietnam",0.17026957672818513,0.023806839936506057,POINT (105.5050463261326 10.58349678191897),103
134,75.34734853340822,northeast,4.0,121.0,3.000000238418579,Upper slope (flat),canal,7827.0,245629.0,71042.0,0.9432253045885945,0.3,2.0,0.4,0.00840732455253601,2.9283852577209473,243.29499942967104,0.00024329499942967104,Vietnam,8f65a26695b3c50,"Mỹ Luông, Chợ Mới District, An Giang Province, Vietnam",0.40912001063826886,0.024329499942967105,POINT (105.4844228312004 10.50750884297045),104
157,477.68701828063695,northwest,8.0,124.0,1.4000000953674316,Valley,canal,2993.0,255902.0,68034.0,0.3144015021685325,0.27,2.0,0.42,0.008408140391111374,3.102785348892212,107.85765453036143,0.00010785765453036142,Vietnam,8f65a266dd60448,"Xã Mỹ An, Chợ Mới District, An Giang Province, Vietnam",0.2249656203723642,0.010785765453036143,POINT (105.4996239956638 10.47664149782556),105
153,419.6976030929042,north,4.0,103.0,0.09999990463256836,Upper slope (warm),river,1568.0,71610.0,29099.0,1.5629011930268517,0.35,1.0,0.33,0.00840289331972599,3.0700933933258057,1700.812683298033,0.001700812683298033,Vietnam,8f65a26eb9a90e2,"Tam Nông District, Dong Thap Province, Vietnam",0.31938030840677617,0.1700812683298033,POINT (105.5357544682676 10.67288978524786),106
82,1112.072224023117,south,3.0,96.0,0.0,Lower slope (flat),canal,1052.0,173691.0,34216.0,0.3091606457115311,0.42,1.0,0.24,0.05044881999492645,3.0702292919158936,4680.326116583015,0.004680326116583015,Vietnam,8f65a27093936d0,"Cao Lanh District, Dong Thap Province, Vietnam",0.2542771761878865,0.4680326116583015,POINT (105.7207937954222 10.47625430777295),107
146,718.8567607677589,south,2.0,109.0,0.0,Upper slope (flat),canal,2835.0,138277.0,48742.0,0.8811016883790224,0.3,1.0,0.41,1.3305740356445312,3.218715190887451,611.8061729419752,0.0006118061729419752,Vietnam,8f65a28de994316,"Mỹ Hòa, Trà Ôn District, Vinh Long province, Vietnam",0.25815927608282974,0.06118061729419752,POINT (105.9488630445987 9.966169996647308),108
96,2285.5338504188453,south,2.0,115.0,0.0,Lower slope (flat),canal,2853.0,114871.0,47184.0,0.979032601292509,0.27,0.0,0.45,1.3226958513259888,3.277125835418701,208.50425936677672,0.00020850425936677673,Vietnam,8f65a29817862ce,"Tiểu Cần, Tiểu Cần District, Tra Vinh province, Vietnam",0.12694558038565615,0.020850425936677672,POINT (106.1958677268928 9.830193738257654),109
11,910.9932124362962,northwest,1.0,85.0,0.5,Lower slope (flat),canal,2198.0,80968.0,23759.0,0.4404647251041264,0.35,2.0,0.33,0.008425543084740639,3.1638035774230957,1364.5173311328208,0.0013645173311328208,Vietnam,8f65a2a222e6a6c,"61, Hòa An, Xã Hòa An, Phụng Hiệp District, Hậu Giang Province, Vietnam",0.2526758484036217,0.13645173311328207,POINT (105.6408375405552 9.80164795717625),110
187,1162.6872010097181,north,3.0,99.0,1.0,Upper slope (flat),river,2751.0,109000.0,34452.0,0.4404255469064112,0.31,1.0,0.35,0.008426988497376442,3.162409782409668,2810.1646781629424,0.0028101646781629424,Vietnam,8f65a2a69521581,"Quốc lộ 61, Xã Tân Tiến, Vị Thanh, Hậu Giang Province, Vietnam",0.2834944403121345,0.28101646781629425,POINT (105.403826069172 9.743262713264153),111
60,66.43478694746484,north,-1.0,87.0,0.10000014305114746,Lower slope (flat),ditch,3308.0,116281.0,46371.0,0.9903214751911933,0.38,1.0,0.28,0.008428147993981838,3.265923023223877,1369.9583028918255,0.0013699583028918254,Vietnam,8f65a2b4232a459,"Bình Thạnh, Phường Bình Thạnh, Long My Town, Hậu Giang Province, Vietnam",0.4524687525283379,0.13699583028918255,POINT (105.5701034525554 9.695505333187313),112
91,387.811736422644,northeast,3.0,122.0,0.20000004768371582,Valley,canal,3955.0,169693.0,79250.0,1.1199903858034261,0.29,1.0,0.38,0.2777940630912781,2.9618279933929443,420.86747673369433,0.0004208674767336943,Vietnam,8f65a2c2ecc5932,"Mỏ Cày Nam District, Bến Tre Province, Vietnam",0.30006049033582377,0.04208674767336943,POINT (106.3087819425039 10.09996430966018),113
39,838.9047389690392,north,2.0,118.0,0.0,Lower slope (flat),river,6117.0,224320.0,61086.0,0.44055919866275894,0.33,1.0,0.38,0.707451343536377,3.18426513671875,562.7102398244123,0.0005627102398244123,Vietnam,8f65a2d63af39ad,"Càng Long District, Tra Vinh province, Vietnam",0.2437627328919414,0.05627102398244123,POINT (106.2703077176579 9.940692836985747),114
167,398.1584704625201,northwest,0.0,118.0,0.3999999761581421,Valley,ditch,1781.0,223661.0,65195.0,0.0,0.3,1.0,0.36,0.008422937244176865,3.232924699783325,436.161578787339,0.00043616157878733903,Vietnam,8f65a2d65034925,"Quốc lộ 60, Bình La, Châu Thành District, Tra Vinh province, Vietnam",0.28276414869212485,0.0436161578787339,POINT (106.2878664783736 9.904627272914182),115
86,36.45382735110068,northeast,1.0,124.0,0.0,Valley,ditch,1190.0,218307.0,56183.0,0.6933787127370008,0.31,1.0,0.38,0.03369247913360596,3.291177749633789,1362.1527748635347,0.0013621527748635346,Vietnam,8f65a2d65babdb0,"Quốc lộ 60, Bình La, Châu Thành District, Tra Vinh province, Vietnam",0.5014391220800491,0.13621527748635345,POINT (106.2833488255793 9.898184313848548),116
36,1355.1213613689517,east,2.0,114.0,0.5,Valley,river,1376.0,118105.0,43890.0,0.9274099368650546,0.28,1.0,0.41,0.008417025208473206,2.8081870079040527,166.07121808885606,0.00016607121808885606,Vietnam,8f65a2da3af30e9,"Tân Hòa, Giồng Trôm District, Bến Tre Province, Vietnam",0.14361760761794337,0.016607121808885607,POINT (106.4805001835209 10.13739665380954),117
61,674.5743636958341,north,6.0,122.0,3.4000003337860107,Lower slope (flat),river,1466.0,88685.0,33515.0,0.4408959680670564,0.3,3.0,0.39,0.008409623056650162,3.070953607559204,3372.204875293831,0.0033722048752938306,Vietnam,8f65a348dacccda,"Xã Núi Tô, Tri Tôn District, An Giang Province, Vietnam",0.328956195137827,0.33722048752938305,POINT (104.9675789639119 10.42042273235951),118
64,195.21071478096763,south,0.0,102.0,0.40000009536743164,Upper slope (flat),water,839.0,76483.0,19146.0,0.31401924440573975,0.41,3.0,0.22,0.016836337745189667,3.329819679260254,2214.984176125262,0.002214984176125262,Vietnam,8f65a3574a16500,"Hon Dat District, Kien Giang Province, Vietnam",0.35966425288282305,0.2214984176125262,POINT (105.025067201348 10.09238948230749),119
159,294.302276330743,east,2.0,83.0,1.6000001430511475,Upper slope (flat),canal,323.0,32477.0,11284.0,0.8817145788120616,0.43,2.0,0.25,0.008410116657614708,2.235283613204956,1832.04738472125,0.00183204738472125,Vietnam,8f65a36e6476c28,"Ha Tien City, Kien Giang Province, Vietnam",0.2958978114621146,0.18320473847212498,POINT (104.4939356147808 10.40279270965413),120
180,817.6458501086115,southeast,3.0,116.0,0.20000004768371582,Lower slope (flat),ditch,399.0,20901.0,10761.0,0.3141790999183711,0.43,1.0,0.21,0.008414003998041153,3.132535457611084,8067.644519615821,0.008067644519615821,Vietnam,8f65a3719320908,"Kien Luong District, Kien Giang Province, Vietnam",0.2839792308412338,0.8067644519615822,POINT (104.615845057014 10.2544438136163),121
118,396.9755168075219,south,3.0,109.0,0.7999999523162842,Lower slope (flat),canal,1651.0,160547.0,43828.0,0.4405165949633603,0.32,0.0,0.34,0.00842363853007555,3.061305522918701,1699.4941980797678,0.0016994941980797678,Vietnam,8f65a3c00309571,"Minh Lương, Châu Thành District, Kien Giang Province, Vietnam",0.33550818532279614,0.1699494198079768,POINT (105.1707808676342 9.877803754400446),122
183,241.38336284482583,west,-1.0,101.0,0.2999999523162842,Lower slope (warm),canal,2679.0,98271.0,33243.0,0.6933521305017638,0.36,0.0,0.24,0.01684930920600891,2.9764528274536133,45.4042261036839,4.54042261036839e-05,Vietnam,8f65a3c264a8acb,"Giồng Riềng District, Kien Giang Province, Vietnam",0.2059851191212441,0.00454042261036839,POINT (105.2335194798439 9.836659213932126),123
9,85.69631470909506,west,1.0,95.0,0.5000001192092896,Upper slope (flat),canal,1073.0,109568.0,33249.0,0.9790071323047412,0.32,2.0,0.32,0.008426916785538197,2.871654510498047,1119.8774360031591,0.0011198774360031592,Vietnam,8f65a3d31d88614,"Quốc lộ 61, Huyện Gò Quao, Kien Giang Province, Vietnam",0.4281694335830283,0.11198774360031592,POINT (105.3441522320937 9.746158407778102),124
165,194.14211493837135,southwest,10.0,99.0,23.0,Lower slope (warm),coastline,120.0,4592.0,1995.0,5.760941122788841,0.31,1.0,0.37,0.04226301237940788,2.8092989921569824,3150.3909019610915,0.0031503909019610916,Vietnam,8f65a441edac840,"Prison Escape, Ha Huy Giap Street, Khu 5, Côn Sơn, Con Dao, Côn Đảo District, Bà Rịa - Vũng Tàu Province, Vietnam",0.37999313016122493,0.31503909019610915,POINT (106.600643123028 8.645451337240484),125
178,104.57313047204933,southwest,-3.0,121.0,0.09999990463256836,Valley,canal,738.0,121466.0,31647.0,0.9898595596170484,0.28,2.0,0.37,0.05059440806508064,3.417497158050537,864.0040385978731,0.0008640040385978731,Vietnam,8f65a62c6628b2a,"ĐH.28, Lịch Hội Thượng, Trần Đề District, Soc Trang province, Vietnam",0.41010436165674924,0.08640040385978731,POINT (106.1409934871315 9.520472349245905),126
87,153.9851814046232,northwest,0.0,104.0,0.7000001668930054,Upper slope (flat),river,2068.0,88209.0,32366.0,1.6843119144372112,0.42,0.0,0.22,0.008433358743786812,3.5797739028930664,219.10485805929926,0.00021910485805929925,Vietnam,8f65a62f4159661,"Nhà Thờ, Xã Trung Bình, Trần Đề District, Soc Trang province, Vietnam",0.28553553005749926,0.021910485805929924,POINT (106.1988809816879 9.48221656103529),127
131,320.49381334782095,west,1.0,127.0,0.19999992847442627,Lower slope (flat),drain,1499.0,89661.0,33501.0,0.6933342704690075,0.3,1.0,0.38,0.008425700478255749,3.417313814163208,688.715787141367,0.000688715787141367,Vietnam,8f65a661e9510e4,"Mỹ Long, Cầu Ngang District, Tra Vinh province, Vietnam",0.3176823070154786,0.0688715787141367,POINT (106.4948366252441 9.794942663879207),128
30,30.119768359484958,southwest,-1.0,127.0,0.09999990463256836,Lower slope (flat),canal,1741.0,94334.0,30710.0,0.0,0.4,2.0,0.21,0.18542177975177765,3.3972198963165283,445.1152019515992,0.0004451152019515992,Vietnam,8f65a662eda92d0,"Long Huu, Duyen Hai Town, Tra Vinh province, Vietnam",0.4369633779657923,0.04451152019515992,POINT (106.4911956289743 9.696041205119213),129
69,52.5039688805792,northeast,159.0,118.0,13.399993896484375,Lower slope (warm),river,2320.0,57714.0,29768.0,0.9465898285053547,0.34,1.0,0.35,0.008377999998629093,2.034026622772217,309.5324745733432,0.00030953247457334325,Vietnam,8f65b0006868969,"Đường tỉnh 721, Cát Tiên, Cát Tiên District, Lâm Đồng Province, Vietnam",0.4108502501475939,0.030953247457334326,POINT (107.3758089572849 11.55485812012393),130
74,338.27923906025813,east,161.0,128.0,1.3000030517578125,Lower slope (warm),reservoir,668.0,45366.0,22012.0,15.713702933420336,0.34,2.0,0.35,0.03351867198944092,1.33277428150177,1076.5288091264697,0.0010765288091264696,Vietnam,8f65b01104a9b6e,"Đạ Tẻh, Đạ Tẻh District, Lâm Đồng Province, Vietnam",0.3055932242942673,0.10765288091264696,POINT (107.5079039037962 11.49733234474872),131
44,1111.9437068729474,south,171.0,120.0,10.5,Lower slope (warm),stream,692.0,58426.0,21395.0,9.686250346968949,0.31,2.0,0.39,0.033529575914144516,1.4860305786132812,1153.0506565599235,0.0011530506565599235,Vietnam,8f65b012200ea00,"Đạ Huoai District, Lâm Đồng Province, Vietnam",0.22436984440232952,0.11530506565599234,POINT (107.4972147691545 11.40330517381005),132
35,207.8069487836724,west,72.0,113.0,14.599998474121094,Valley,stream,561.0,55029.0,22050.0,3.970252773797645,0.26,0.0,0.48,0.016750361770391464,1.8242756128311157,1707.58586162903,0.00170758586162903,Vietnam,8f65b0219901481,"Phú Riềng, Phú Riềng District, Bình Phước Province, Vietnam",0.3907935103314518,0.17075858616290301,POINT (106.8729725168226 11.65109541843339),133
43,663.1129148102185,southwest,209.0,112.0,35.600006103515625,Upper slope (warm),dam,1212.0,88441.0,35506.0,5.687829424843965,0.29,0.0,0.44,0.008369527757167816,2.660515785217285,1594.7963415938311,0.0015947963415938312,Vietnam,8f65b0292db5492,"Phước Sơn, Đức Hạnh, Bù Gia Mập District, Bình Phước Province, Vietnam",0.29723196384160466,0.15947963415938313,POINT (107.0224650517252 11.83997962167099),134
4,1045.1448316935202,southeast,81.0,119.0,17.400005340576172,Lower slope (warm),stream,502.0,66692.0,20086.0,7.679126529834539,0.29,1.0,0.48,0.008382553234696388,2.1570348739624023,944.35953144467,0.0009443595314446699,Vietnam,8f65b036178a899,"Đồng Phú District, Bình Phước Province, Vietnam",0.22238155092995848,0.094435953144467,POINT (106.8680622078676 11.39792333306327),135
41,856.8920200069402,southeast,599.0,121.0,67.10003662109375,Peak/ridge (warm),dam,213.0,58901.0,7062.0,8.563822290204799,0.35,2.0,0.36,0.008366749621927738,2.5051939487457275,1454.8813541943998,0.0014548813541943998,Vietnam,8f65b04334880db,"Lê Thánh Tông, Gia Nghia, Đắk Nông Province, Vietnam",0.22196571544878013,0.14548813541943997,POINT (107.6638788788328 11.93230354427615),136
26,1168.3049114202036,southwest,703.0,115.0,102.9000244140625,Upper slope (warm),water,1201.0,54815.0,26341.0,12.870045884892797,0.35,1.0,0.38,0.008364701643586159,2.82609486579895,1667.2223655117027,0.0016672223655117028,Vietnam,8f65b04ee490c01,"Kien Duc, Đăk R'Lấp District, Tuy Đức District, Đắk Nông Province, Vietnam",0.23151541416363397,0.16672223655117027,POINT (107.4931660760406 11.99983712632616),137
